ProductID,ProductType,ProductName,AcquisitionDate,CustomerID,CustomerName,TotalAccountBalance,TotalLiabilities,PreferredChannel,dob,city,gender,income,joinDate,maritalStatus
P003,Credit Card,Rewards Plus,20/8/2025,C001,Customer 001,"139,314.00","356,864.00",Email,13/3/1980,Ballarat,Male,"135,863.00",2/11/2020,Married
error,Term Deposit,Saver Premium,6/5/2025 15:16,,Customer 001,"18,379.00","392,306.00",Email,13/3/1980,Ballarat,Male,"135,863.00",2/11/2020,Married
P002,Savings Account,Saver Basic,15/9/2025,C001,Customer 001,"17,314.00","390,976.00",Email,13/3/1980,Ballarat,,"135,863.00",2/11/2020,Married
P004,Home Loan,Variable Home Loan,16/5/2025,C002,-9999,,"387,883.00",Call Center,14/7/1965,Townsville,999999999,"72,453.00",8/2/2020,Single
P003,Credit Card,Rewards Plus,24/8/2025 15:54,C002,???,"125,569.00","477,346.00",Call Center,14/7/1965,Townsville,Male,"72,453.00",8/2/2020,Single
P001,Term Deposit,Saver Premium,28/5/2025,C002,,NULL,"40,617.00",Call Center,14/7/1965,Townsville,Male,"72,453.00",8/2/2020,Single
undefined,Savings Account,Saver Basic,5/6/2025 19:36,error,Customer 003,"126,463.00","31,803.00",Call Center,2/7/1997,Adelaide,Female,"149,874.00",2/4/2020,Single
P003,Credit Card,Rewards Plus,6/9/2025 8:43,C003,Customer 003,,"354,265.00",NaN,2/7/1997,Adelaide,Female,"149,874.00",2/4/2020,Single
P005,Premium Account,Membership Premium,8/9/2025 9:45,C003,Customer 003,"121,808.00","244,264.00",,2/7/1997,error,999999999,"149,874.00",2/4/2020,Single
P001,Term Deposit,Saver Premium,9/6/2025 2:59,C004,undefined,,"240,632.00",Call Center,27/9/1979,Bendigo,Other,"89,249.00",6/11/2020,Single
P002,Savings Account,Saver Basic,9/2/2025,C004,NULL,"101,409.00","110,015.00",Call Center,27/9/1979,Bendigo,Other,"89,249.00",6/11/2020,Single
P001,error,-9999,16/2/2025 4:47,C005,Customer 005,"94,254.00",-9999,App,7/10/1963,Wollongong,,,22/8/2020,Married
P005,-9999,999999999,6/7/2025,NaN,Customer 006,"127,438.00","206,611.00",Email,3/4/2004,Wollongong,???,"157,659.00",10/10/2020,Single
P003,Credit Card,Rewards Plus,13/1/2025,C006,Customer 006,"118,164.00","212,556.00",Email,3/4/2004,Wollongong,Other,"157,659.00",10/10/2020,NULL
-9999,Term Deposit,Saver Premium,4/6/2025 23:09,NULL,???,"98,593.00","165,715.00",undefined,3/4/2004,Wollongong,Other,999999999,10/10/2020,Single
P003,Credit Card,Rewards Plus,1/1/2025 10:48,-9999,Customer 007,"104,401.00","62,936.00",SMS,6/7/1992,Townsville,Male,"60,347.00",5/6/2020,Divorced
NaN,NULL,Saver Premium,29/5/2025 8:23,C008,Customer 008,"102,278.00","456,115.00",undefined,20/6/2004,Brisbane,Male,"110,762.00",19/8/2020,Single
P001,Term Deposit,Saver Premium,21/5/2025 1:17,C009,-9999,"74,874.00","332,903.00",Email,21/5/2004,Newcastle,999999999,"141,132.00",22/10/2020,Divorced
P003,999999999,Rewards Plus,18/3/2025 7:17,C009,Customer 009,"82,733.00","99,535.00",Email,21/5/2004,Newcastle,Other,"141,132.00",22/10/2020,Divorced
undefined,Savings Account,Saver Basic,11/7/2025 13:56,C009,999999999,,"478,897.00",undefined,21/5/2004,Newcastle,Other,"141,132.00",22/10/2020,undefined
P005,Premium Account,Membership Premium,11/2/2025,C010,,???,"322,392.00",Social,6/6/1989,Darwin,Female,"73,905.00",4/10/2020,Widowed
P002,Savings Account,Saver Basic,12/3/2025 20:55,NULL,Customer 010,"12,839.00",999999999,Social,6/6/1989,Darwin,Female,"73,905.00",4/10/2020,Widowed
P003,Credit Card,Rewards Plus,7/3/2025 5:30,C010,Customer 010,"73,858.00","156,118.00",Social,6/6/1989,,Female,"73,905.00",4/10/2020,unknown
P003,undefined,Rewards Plus,3/5/2025 9:30,,Customer 011,"103,381.00","62,779.00",Social,6/2/1991,Adelaide,Female,"112,986.00",13/8/2020,Divorced
P004,Home Loan,Variable Home Loan,27/3/2025 20:10,C011,Customer 011,"131,230.00","474,983.00",Social,6/2/1991,Adelaide,,"112,986.00",13/8/2020,Divorced
P005,Premium Account,Membership Premium,20/8/2025 10:48,NULL,Customer 012,"36,594.00","287,197.00",SMS,3/3/1974,Canberra,-9999,"167,130.00",5/3/2020,Married
P002,Savings Account,Saver Basic,9/4/2025 7:05,C012,Customer 012,"145,719.00","47,759.00",SMS,3/3/1974,Canberra,Male,"167,130.00",5/3/2020,Married
P002,error,Saver Basic,13/5/2025,C013,Customer 013,"108,208.00","200,717.00",Social,5/1/1978,Bendigo,Female,"72,896.00",18/7/2020,Single
P003,Credit Card,Rewards Plus,31/7/2025 23:33,C013,Customer 013,"70,841.00","177,315.00",Social,5/1/1978,Bendigo,Female,"72,896.00",18/7/2020,Single
P004,Home Loan,Variable Home Loan,23/5/2025 18:23,C014,,-9999,"277,466.00",App,13/9/2003,Toowoomba,Other,,13/7/2020,undefined
P002,Savings Account,???,8/5/2025,undefined,Customer 015,"113,203.00","163,586.00",999999999,4/3/1988,???,Other,"79,653.00",20/6/2020,Divorced
P001,Term Deposit,???,12/1/2025 4:02,C015,Customer 015,"124,064.00","307,849.00",Call Center,4/3/1988,Sydney,undefined,"79,653.00",20/6/2020,???
-9999,Premium Account,Membership Premium,8/9/2025 0:04,C015,Customer 015,"138,375.00","448,508.00",NULL,4/3/1988,Sydney,Other,"79,653.00",20/6/2020,Divorced
P004,Home Loan,Variable Home Loan,25/2/2025 7:09,C016,Customer 016,"28,544.00","493,612.00",,28/2/1961,,Female,"135,463.00",20/4/2020,NULL
P002,Savings Account,Saver Basic,23/8/2025,C016,Customer 016,error,NULL,Social,28/2/1961,Gold Coast,Female,"135,463.00",20/4/2020,NULL
P002,Savings Account,Saver Basic,20/1/2025 20:45,C017,Customer 017,"33,545.00","328,452.00",Call Center,16/8/1989,Wollongong,,"109,404.00",3/5/2020,Married
P005,Premium Account,Membership Premium,27/2/2025 3:04,,Customer 018,"50,253.00","203,466.00",undefined,17/4/1961,Sydney,Other,"118,142.00",5/6/2020,Single
NULL,,Variable Home Loan,14/5/2025,C018,,NaN,unknown,SMS,17/4/1961,,Other,"118,142.00",5/6/2020,Single
P004,Home Loan,Variable Home Loan,11/6/2025,C019,Customer 019,"124,598.00","275,921.00",NULL,6/6/1993,Ballarat,Other,"126,419.00",25/6/2020,Married
P003,Credit Card,NULL,1/5/2025 17:15,C019,Customer 019,"107,953.00","369,441.00",App,6/6/1993,Ballarat,Other,???,25/6/2020,Married
P003,Credit Card,Rewards Plus,10/4/2025,C020,Customer 020,"110,104.00","42,515.00",Social,26/12/1985,Geelong,Other,"47,596.00",7/4/2020,Divorced
P001,,,12/5/2025 7:42,C020,Customer 020,"97,050.00","118,901.00",Social,26/12/1985,NaN,Other,"47,596.00",7/4/2020,Divorced
P004,Home Loan,Variable Home Loan,10/9/2025 1:44,C020,,"110,246.00","189,959.00",NULL,26/12/1985,,Other,unknown,7/4/2020,Divorced
P004,Home Loan,Variable Home Loan,30/5/2025 23:54,C021,Customer 021,"53,796.00","259,887.00",Social,23/4/1976,Geelong,Female,"61,112.00",12/10/2020,Married
P002,Savings Account,error,13/4/2025,C021,Customer 021,"60,505.00",,Social,23/4/1976,999999999,Female,"61,112.00",12/10/2020,Married
P001,Term Deposit,Saver Premium,24/4/2025,C021,Customer 021,,"499,083.00",Social,23/4/1976,error,Female,,12/10/2020,Married
P004,Home Loan,Variable Home Loan,6/9/2025,C022,Customer 022,"38,373.00","483,353.00",Email,7/6/1972,Mackay,Male,,20/8/2020,Divorced
,999999999,Saver Basic,21/7/2025 1:13,C022,Customer 022,"37,201.00","217,781.00",Email,7/6/1972,Mackay,Male,"165,691.00",20/8/2020,NULL
NULL,error,Saver Premium,27/1/2025 22:03,,Customer 022,"117,870.00","470,898.00",Email,7/6/1972,Mackay,Male,???,20/8/2020,Divorced
P003,Credit Card,Rewards Plus,26/3/2025 10:12,C023,Customer 023,"137,572.00","391,280.00",Social,13/2/2002,Hobart,Female,"127,167.00",25/12/2020,unknown
P001,Term Deposit,Saver Premium,28/8/2025,-9999,Customer 023,,"439,944.00",Social,13/2/2002,Hobart,Female,"127,167.00",25/12/2020,Widowed
P004,Home Loan,,11/7/2025 10:28,C023,,NULL,"41,021.00",Social,13/2/2002,Hobart,,"127,167.00",25/12/2020,Widowed
P001,Term Deposit,Saver Premium,4/8/2025,C024,Customer 024,"54,369.00","199,297.00",App,3/12/1985,,Male,"79,623.00",6/12/2020,Widowed
P003,Credit Card,Rewards Plus,2/7/2025,C024,undefined,"23,005.00","25,825.00",App,3/12/1985,Adelaide,-9999,error,6/12/2020,error
P004,error,Variable Home Loan,17/8/2025 6:20,C025,Customer 025,"124,396.00","15,876.00",Call Center,16/10/1999,Ballarat,Male,"45,609.00",12/11/2020,Single
P002,Savings Account,Saver Basic,30/7/2025,undefined,Customer 025,"106,108.00",error,Call Center,16/10/1999,undefined,error,"45,609.00",12/11/2020,Single
P005,Premium Account,Membership Premium,12/7/2025 1:29,C025,Customer 025,,"134,750.00",Call Center,16/10/1999,Ballarat,Male,"45,609.00",12/11/2020,Single
P001,Term Deposit,999999999,23/6/2025 11:17,C026,???,"11,425.00","137,453.00",Call Center,28/7/1968,Sydney,Female,"95,778.00",27/4/2020,Married
